model,MAE,RMSE,R_squared,WAPE_pct,MAPE_pct,Bias_pct,Forecast_accuracy_pct
XGBoost,4.745771219080145,6.343960132134521,0.9052443779108125,13.312053338981208,15.41632630698451,-0.4275086095364763,86.6879466610188
Seasonal lag-7 baseline,13.506181818181819,20.652272602218954,-0.004199024067973678,37.88530977784125,38.88021365784199,-0.6242477406719843,62.11469022215875
Naive lag-1 baseline,14.165818181818182,21.171919653592628,-0.05536957898262673,39.73561272159775,42.00003574725007,0.19176237785348538,60.26438727840225
