metric,value
RMSE,9.569910877440812
MAE,6.666594878466253
R-squared,0.7751233892972764
Raw quantity difference,26.359669228429127
T-learner ATE,25.34415695175652
Doubly robust ATE,27.56995826997431
DR 95% CI lower,26.106747885575857
DR 95% CI upper,29.033168654372766
Propensity overlap share,0.9440540540540541
