model,elasticity_estimate,standard_error,p_value,absolute_error_from_benchmark
OLS,1.5531205077359118,0.07988673710211343,0.0,3.252335754372683
IV/2SLS,-1.629770796847879,0.17547765863170003,0.0,0.06944444978889219
Synthetic benchmark,-1.6992152466367711,,,0.0
